Company,Symbol,Weight,      Price,Chg,% Chg
Verisk Analytics Inc,VRSK,0.089477,   141.18,0,0.00%
Monster Beverage Corporation,MNST,0.088705,   58.64,0,0.00%
Northern Trust Corporation,NTRS,0.088476,   106.55,0,0.00%
Corning Inc,GLW,0.088107,   29.35,0,0.00%
DTE Energy Company,DTE,0.087862,   123.84,0,0.00%
Centene Corporation,CNC,0.087355,   57.19,-0.37,(-0.64%)
Synchrony Financial,SYF,0.087249,   37.05,0,0.00%
Twitter Inc.,TWTR,0.086911,   29.23,-0.02,(-0.07%)
Hewlett Packard Enterprise Co.,HPE,0.08653,   17.23,0,0.00%
Pioneer Natural Resources Company,PXD,0.086432,   134.28,0,0.00%
Hartford Financial Services Group Inc.,HIG,0.086346,   61.80,-0.2,(-0.32%)
Microchip Technology Incorporated,MCHP,0.085823,   94.61,0.01,-0.01%
IDEXX Laboratories Inc.,IDXX,0.085779,   259.78,0,0.00%
AMETEK Inc.,AME,0.085419,   98.17,0,0.00%
Ball Corporation,BLL,0.084924,   65.60,0,0.00%
M&T Bank Corporation,MTB,0.084858,   163.97,0,0.00%
Hershey Company,HSY,0.084822,   145.75,0,0.00%
Weyerhaeuser Company,WY,0.084506,   29.35,0,0.00%
Fifth Third Bancorp,FITB,0.084207,   30.07,0,0.00%
Ventas Inc.,VTR,0.084122,   58.60,0.3,-0.51%
Cintas Corporation,CTAS,0.083768,   257.70,1.58,-0.62%
Kroger Co.,KR,0.083637,   26.75,0,0.00%
Las Vegas Sands Corp.,LVS,0.083175,   62.67,0,0.00%
Cerner Corporation,CERN,0.083064,   67.98,-0.42,(-0.61%)
American Water Works Company Inc.,AWK,0.082527,   118.24,0,0.00%
Fortive Corp.,FTV,0.08158,   71.63,0,0.00%
MSCI Inc. Class A,MSCI,0.081527,   248.63,-1.37,(-0.55%)
Ameriprise Financial Inc.,AMP,0.081128,   160.17,0,0.00%
ResMed Inc.,RMD,0.080597,   147.10,0,0.00%
Fastenal Company,FAST,0.080244,   36.15,-0.18,(-0.50%)
Essex Property Trust Inc.,ESS,0.079982,   319.00,0,0.00%
Synopsys Inc.,SNPS,0.079957,   139.71,0,0.00%
United Airlines Holdings Inc.,UAL,0.079515,   92.51,0,0.00%
Keysight Technologies Inc,KEYS,0.077689,   110.29,1.21,-1.11%
McCormick & Company Incorporated,MKC,0.077365,   162.38,0,0.00%
Boston Properties Inc.,BXP,0.077094,   137.56,0,0.00%
Corteva Inc,CTVA,0.076696,   25.48,0,0.00%
Royal Caribbean Cruises Ltd.,RCL,0.076546,   117.89,0,0.00%
VeriSign Inc.,VRSN,0.076194,   186.81,0,0.00%
ANSYS Inc.,ANSS,0.074884,   235.15,0,0.00%
CDW Corp.,CDW,0.0748,   136.55,0,0.00%
Kraft Heinz Company,KHC,0.074582,   31.18,-0.12,(-0.38%)
Chipotle Mexican Grill Inc.,CMG,0.074386,   752.51,-2.15,(-0.28%)
KeyCorp,KEY,0.073631,   19.00,0.03,-0.16%
Align Technology Inc.,ALGN,0.073512,   264.00,0.08,-0.03%
Cadence Design Systems Inc.,CDNS,0.073405,   67.48,0,0.00%
CBRE Group Inc. Class A,CBRE,0.072737,   56.44,0,0.00%
Vulcan Materials Company,VMC,0.072729,   140.52,0.31,-0.22%
Ameren Corporation,AEE,0.072416,   76.62,0,0.00%
Republic Services Inc.,RSG,0.071769,   86.91,0,0.00%
